job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,56977
Engineer  data,0
Engineer  site reliability,50222
Developer  full-stack,62835
 Developer  back-end,0
Developer  desktop or enterprise applications,66652
Developer  QA or test,58454
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,58454
Academic researcher,0
DevOps specialist,66652
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,50256
Project manager,0
Cloud infrastructure engineer,80409
Data or business analyst,0
Designer,50256
Scientist,0
Product manager,0
Senior Executive,0
System administrator,66652
Blockchain,0
Marketing or sales professional,0
Security professional,0
