job,avgsalary
Data scientist or machine learning specialist,164617
Developer  front-end,123783
Engineer  data,129019
Engineer  site reliability,134356
Developer  full-stack,146646
 Developer  back-end,0
Developer  desktop or enterprise applications,122858
Developer  QA or test,86298
Student,89712
Developer  mobileEducator,0
Engineering manager,210528
Database administrator,204623
Academic researcher,95973
DevOps specialist,165997
Other,131686
Developer  embedded applications or devices,182623
Developer  game or graphics,112116
Project manager,224740
Cloud infrastructure engineer,194586
Data or business analyst,118136
Designer,119569
Scientist,142561
Product manager,123574
Senior Executive,250018
System administrator,117647
Blockchain,161424
Marketing or sales professional,215232
Security professional,150117
