job,avgsalary
Data scientist or machine learning specialist,106163
Developer  front-end,95270
Engineer  data,96183
Engineer  site reliability,243304
Developer  full-stack,115120
 Developer  back-end,0
Developer  desktop or enterprise applications,103745
Developer  QA or test,108390
Student,58752
Developer  mobileEducator,0
Engineering manager,237256
Database administrator,102055
Academic researcher,52553
DevOps specialist,98076
Other,203951
Developer  embedded applications or devices,102111
Developer  game or graphics,318757
Project manager,101377
Cloud infrastructure engineer,146996
Data or business analyst,92015
Designer,214837
Scientist,80623
Product manager,153025
Senior Executive,249562
System administrator,117697
Blockchain,187124
Marketing or sales professional,106644
Security professional,109067
