job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,0
Engineer  data,0
Engineer  site reliability,0
Developer  full-stack,49654
 Developer  back-end,0
Developer  desktop or enterprise applications,74500
Developer  QA or test,0
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,180000
Academic researcher,0
DevOps specialist,0
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,180000
Cloud infrastructure engineer,0
Data or business analyst,0
Designer,180000
Scientist,0
Product manager,0
Senior Executive,0
System administrator,0
Blockchain,0
Marketing or sales professional,180000
Security professional,25845
