job,avgsalary
Data scientist or machine learning specialist,115982
Developer  front-end,108565
Engineer  data,98699
Engineer  site reliability,376208
Developer  full-stack,121838
 Developer  back-end,0
Developer  desktop or enterprise applications,107038
Developer  QA or test,56749
Student,0
Developer  mobileEducator,0
Engineering manager,167157
Database administrator,83871
Academic researcher,57329
DevOps specialist,181840
Other,71190
Developer  embedded applications or devices,122652
Developer  game or graphics,117819
Project manager,108610
Cloud infrastructure engineer,161084
Data or business analyst,118035
Designer,50987
Scientist,76733
Product manager,154469
Senior Executive,81600
System administrator,197439
Blockchain,150964
Marketing or sales professional,96261
Security professional,204807
