job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,43439
Engineer  data,0
Engineer  site reliability,0
Developer  full-stack,35093
 Developer  back-end,0
Developer  desktop or enterprise applications,37029
Developer  QA or test,7194
Student,0
Developer  mobileEducator,0
Engineering manager,30468
Database administrator,32160
Academic researcher,0
DevOps specialist,43230
Other,6768
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,50778
Cloud infrastructure engineer,49086
Data or business analyst,27084
Designer,15000
Scientist,0
Product manager,15000
Senior Executive,67704
System administrator,32160
Blockchain,0
Marketing or sales professional,0
Security professional,32160
