job,avgsalary
Data scientist or machine learning specialist,16100
Developer  front-end,36190
Engineer  data,26364
Engineer  site reliability,20682
Developer  full-stack,51233
 Developer  back-end,0
Developer  desktop or enterprise applications,50076
Developer  QA or test,22736
Student,0
Developer  mobileEducator,0
Engineering manager,109464
Database administrator,24680
Academic researcher,191964
DevOps specialist,59727
Other,120000
Developer  embedded applications or devices,0
Developer  game or graphics,36000
Project manager,22728
Cloud infrastructure engineer,63044
Data or business analyst,40668
Designer,0
Scientist,0
Product manager,57416
Senior Executive,86040
System administrator,6816
Blockchain,155982
Marketing or sales professional,0
Security professional,0
