job,avgsalary
Data scientist or machine learning specialist,31229
Developer  front-end,20879
Engineer  data,43718
Engineer  site reliability,62400
Developer  full-stack,28468
 Developer  back-end,0
Developer  desktop or enterprise applications,31866
Developer  QA or test,77400
Student,8641
Developer  mobileEducator,0
Engineering manager,45260
Database administrator,25548
Academic researcher,14764
DevOps specialist,43185
Other,138203
Developer  embedded applications or devices,55868
Developer  game or graphics,80148
Project manager,41868
Cloud infrastructure engineer,44395
Data or business analyst,28174
Designer,24276
Scientist,150000
Product manager,45708
Senior Executive,8244
System administrator,33751
Blockchain,46908
Marketing or sales professional,5148
Security professional,55148
