job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,27515
Engineer  data,53300
Engineer  site reliability,76788
Developer  full-stack,23675
 Developer  back-end,0
Developer  desktop or enterprise applications,10236
Developer  QA or test,0
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,41591
Academic researcher,0
DevOps specialist,59189
Other,0
Developer  embedded applications or devices,29436
Developer  game or graphics,29436
Project manager,29436
Cloud infrastructure engineer,76788
Data or business analyst,0
Designer,0
Scientist,0
Product manager,63986
Senior Executive,0
System administrator,76788
Blockchain,53112
Marketing or sales professional,0
Security professional,0
