job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,74408
Engineer  data,43080
Engineer  site reliability,0
Developer  full-stack,65008
 Developer  back-end,0
Developer  desktop or enterprise applications,43080
Developer  QA or test,0
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,74412
Academic researcher,0
DevOps specialist,0
Other,0
Developer  embedded applications or devices,43080
Developer  game or graphics,0
Project manager,68532
Cloud infrastructure engineer,0
Data or business analyst,43080
Designer,0
Scientist,0
Product manager,0
Senior Executive,68532
System administrator,74412
Blockchain,0
Marketing or sales professional,0
Security professional,0
