job,avgsalary
Data scientist or machine learning specialist,45644
Developer  front-end,45402
Engineer  data,78702
Engineer  site reliability,0
Developer  full-stack,47509
 Developer  back-end,0
Developer  desktop or enterprise applications,59452
Developer  QA or test,40308
Student,0
Developer  mobileEducator,0
Engineering manager,76788
Database administrator,41804
Academic researcher,31992
DevOps specialist,56296
Other,0
Developer  embedded applications or devices,43704
Developer  game or graphics,23166
Project manager,40308
Cloud infrastructure engineer,78091
Data or business analyst,63989
Designer,0
Scientist,25596
Product manager,0
Senior Executive,64680
System administrator,40524
Blockchain,33276
Marketing or sales professional,0
Security professional,74651
