job,avgsalary
Data scientist or machine learning specialist,18000
Developer  front-end,89200
Engineer  data,0
Engineer  site reliability,0
Developer  full-stack,30031
 Developer  back-end,0
Developer  desktop or enterprise applications,20104
Developer  QA or test,60000
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,0
Academic researcher,0
DevOps specialist,18000
Other,0
Developer  embedded applications or devices,39000
Developer  game or graphics,0
Project manager,0
Cloud infrastructure engineer,0
Data or business analyst,0
Designer,18000
Scientist,0
Product manager,0
Senior Executive,0
System administrator,0
Blockchain,0
Marketing or sales professional,0
Security professional,0
