job,avgsalary
Data scientist or machine learning specialist,3144
Developer  front-end,14046
Engineer  data,14046
Engineer  site reliability,3144
Developer  full-stack,3444
 Developer  back-end,0
Developer  desktop or enterprise applications,10611
Developer  QA or test,0
Student,3144
Developer  mobileEducator,0
Engineering manager,3144
Database administrator,3144
Academic researcher,3144
DevOps specialist,14046
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,3144
Cloud infrastructure engineer,0
Data or business analyst,3144
Designer,3144
Scientist,3144
Product manager,0
Senior Executive,3144
System administrator,3144
Blockchain,0
Marketing or sales professional,0
Security professional,0
