job,avgsalary
Data scientist or machine learning specialist,57588
Developer  front-end,54884
Engineer  data,63346
Engineer  site reliability,65196
Developer  full-stack,83829
 Developer  back-end,0
Developer  desktop or enterprise applications,131093
Developer  QA or test,423907
Student,0
Developer  mobileEducator,0
Engineering manager,99343
Database administrator,152226
Academic researcher,37459
DevOps specialist,125887
Other,137942
Developer  embedded applications or devices,243940
Developer  game or graphics,300732
Project manager,104616
Cloud infrastructure engineer,154762
Data or business analyst,71023
Designer,51186
Scientist,27540
Product manager,126905
Senior Executive,40308
System administrator,126638
Blockchain,29436
Marketing or sales professional,0
Security professional,72697
