job,avgsalary
Data scientist or machine learning specialist,79375
Developer  front-end,79804
Engineer  data,69318
Engineer  site reliability,0
Developer  full-stack,82986
 Developer  back-end,0
Developer  desktop or enterprise applications,83944
Developer  QA or test,0
Student,0
Developer  mobileEducator,0
Engineering manager,113042
Database administrator,71404
Academic researcher,52212
DevOps specialist,72119
Other,0
Developer  embedded applications or devices,61320
Developer  game or graphics,63986
Project manager,68703
Cloud infrastructure engineer,76783
Data or business analyst,95979
Designer,0
Scientist,69318
Product manager,59322
Senior Executive,111976
System administrator,75184
Blockchain,0
Marketing or sales professional,0
Security professional,57588
