job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,10321
Engineer  data,12400
Engineer  site reliability,0
Developer  full-stack,14554
 Developer  back-end,0
Developer  desktop or enterprise applications,8466
Developer  QA or test,11880
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,9777
Academic researcher,0
DevOps specialist,0
Other,0
Developer  embedded applications or devices,11880
Developer  game or graphics,0
Project manager,0
Cloud infrastructure engineer,16818
Data or business analyst,11880
Designer,12400
Scientist,0
Product manager,12140
Senior Executive,0
System administrator,8466
Blockchain,21756
Marketing or sales professional,0
Security professional,0
