job,avgsalary
Data scientist or machine learning specialist,17928
Developer  front-end,18751
Engineer  data,12414
Engineer  site reliability,22378
Developer  full-stack,19646
 Developer  back-end,0
Developer  desktop or enterprise applications,22949
Developer  QA or test,25444
Student,4104
Developer  mobileEducator,0
Engineering manager,29149
Database administrator,27602
Academic researcher,21876
DevOps specialist,17343
Other,0
Developer  embedded applications or devices,25666
Developer  game or graphics,8208
Project manager,27584
Cloud infrastructure engineer,13570
Data or business analyst,47173
Designer,13675
Scientist,21876
Product manager,37373
Senior Executive,54237
System administrator,18721
Blockchain,19140
Marketing or sales professional,0
Security professional,6288
