job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,140100
Engineer  data,2916
Engineer  site reliability,0
Developer  full-stack,13134
 Developer  back-end,0
Developer  desktop or enterprise applications,55456
Developer  QA or test,0
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,2916
Academic researcher,0
DevOps specialist,2916
Other,0
Developer  embedded applications or devices,2916
Developer  game or graphics,0
Project manager,2916
Cloud infrastructure engineer,2916
Data or business analyst,0
Designer,23352
Scientist,0
Product manager,0
Senior Executive,2916
System administrator,2916
Blockchain,0
Marketing or sales professional,0
Security professional,0
