job,avgsalary
Data scientist or machine learning specialist,14712
Developer  front-end,14712
Engineer  data,14712
Engineer  site reliability,0
Developer  full-stack,14712
 Developer  back-end,0
Developer  desktop or enterprise applications,14712
Developer  QA or test,0
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,14712
Academic researcher,0
DevOps specialist,0
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,0
Cloud infrastructure engineer,14712
Data or business analyst,14712
Designer,0
Scientist,0
Product manager,0
Senior Executive,0
System administrator,50748
Blockchain,0
Marketing or sales professional,0
Security professional,0
