job,avgsalary
Data scientist or machine learning specialist,23462
Developer  front-end,101844
Engineer  data,0
Engineer  site reliability,90647
Developer  full-stack,173827
 Developer  back-end,0
Developer  desktop or enterprise applications,338416
Developer  QA or test,44790
Student,268740
Developer  mobileEducator,0
Engineering manager,0
Database administrator,44790
Academic researcher,44790
DevOps specialist,119974
Other,85670
Developer  embedded applications or devices,639864
Developer  game or graphics,0
Project manager,106644
Cloud infrastructure engineer,90647
Data or business analyst,57054
Designer,85300
Scientist,0
Product manager,44790
Senior Executive,0
System administrator,44790
Blockchain,76071
Marketing or sales professional,0
Security professional,0
