job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,40404
Engineer  data,0
Engineer  site reliability,61260
Developer  full-stack,33131
 Developer  back-end,0
Developer  desktop or enterprise applications,7236
Developer  QA or test,0
Student,0
Developer  mobileEducator,0
Engineering manager,29232
Database administrator,7980
Academic researcher,0
DevOps specialist,61260
Other,33408
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,0
Cloud infrastructure engineer,61260
Data or business analyst,5568
Designer,57996
Scientist,5568
Product manager,57996
Senior Executive,98935
System administrator,9186
Blockchain,0
Marketing or sales professional,0
Security professional,0
