job,avgsalary
Data scientist or machine learning specialist,71649
Developer  front-end,57666
Engineer  data,49209
Engineer  site reliability,52010
Developer  full-stack,50314
 Developer  back-end,0
Developer  desktop or enterprise applications,72921
Developer  QA or test,134569
Student,18420
Developer  mobileEducator,0
Engineering manager,147433
Database administrator,26989
Academic researcher,39594
DevOps specialist,116758
Other,30045
Developer  embedded applications or devices,126240
Developer  game or graphics,22953
Project manager,84226
Cloud infrastructure engineer,105949
Data or business analyst,25467
Designer,21775
Scientist,34977
Product manager,168582
Senior Executive,137356
System administrator,31902
Blockchain,13468
Marketing or sales professional,30108
Security professional,40977
