job,avgsalary
Data scientist or machine learning specialist,15480
Developer  front-end,24200
Engineer  data,0
Engineer  site reliability,0
Developer  full-stack,13548
 Developer  back-end,0
Developer  desktop or enterprise applications,0
Developer  QA or test,0
Student,4644
Developer  mobileEducator,0
Engineering manager,0
Database administrator,13548
Academic researcher,0
DevOps specialist,14514
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,0
Cloud infrastructure engineer,0
Data or business analyst,15480
Designer,0
Scientist,0
Product manager,0
Senior Executive,0
System administrator,13548
Blockchain,0
Marketing or sales professional,0
Security professional,0
