job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,26856
Engineer  data,34548
Engineer  site reliability,0
Developer  full-stack,29670
 Developer  back-end,0
Developer  desktop or enterprise applications,40956
Developer  QA or test,0
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,0
Academic researcher,0
DevOps specialist,0
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,34548
Cloud infrastructure engineer,0
Data or business analyst,0
Designer,0
Scientist,0
Product manager,0
Senior Executive,0
System administrator,34548
Blockchain,39522
Marketing or sales professional,0
Security professional,0
