job,avgsalary
Data scientist or machine learning specialist,1805
Developer  front-end,26641
Engineer  data,11836
Engineer  site reliability,0
Developer  full-stack,26366
 Developer  back-end,0
Developer  desktop or enterprise applications,15398
Developer  QA or test,72000
Student,12936
Developer  mobileEducator,0
Engineering manager,0
Database administrator,17451
Academic researcher,1805
DevOps specialist,36988
Other,26484
Developer  embedded applications or devices,5114
Developer  game or graphics,60000
Project manager,47136
Cloud infrastructure engineer,1805
Data or business analyst,12036
Designer,15042
Scientist,0
Product manager,9528
Senior Executive,0
System administrator,13398
Blockchain,140814
Marketing or sales professional,0
Security professional,0
