job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,6588
Engineer  data,0
Engineer  site reliability,0
Developer  full-stack,4704
 Developer  back-end,0
Developer  desktop or enterprise applications,6588
Developer  QA or test,6588
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,3576
Academic researcher,0
DevOps specialist,0
Other,0
Developer  embedded applications or devices,6588
Developer  game or graphics,0
Project manager,22572
Cloud infrastructure engineer,0
Data or business analyst,0
Designer,6588
Scientist,0
Product manager,0
Senior Executive,0
System administrator,3576
Blockchain,0
Marketing or sales professional,0
Security professional,0
