job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,5452
Engineer  data,0
Engineer  site reliability,0
Developer  full-stack,5818
 Developer  back-end,0
Developer  desktop or enterprise applications,7857
Developer  QA or test,2592
Student,5184
Developer  mobileEducator,0
Engineering manager,0
Database administrator,3240
Academic researcher,5184
DevOps specialist,0
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,0
Cloud infrastructure engineer,0
Data or business analyst,0
Designer,0
Scientist,0
Product manager,13608
Senior Executive,0
System administrator,0
Blockchain,0
Marketing or sales professional,0
Security professional,0
