job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,15581
Engineer  data,41657
Engineer  site reliability,9672
Developer  full-stack,15720
 Developer  back-end,0
Developer  desktop or enterprise applications,16807
Developer  QA or test,6701
Student,12822
Developer  mobileEducator,0
Engineering manager,19881
Database administrator,7062
Academic researcher,25148
DevOps specialist,28085
Other,0
Developer  embedded applications or devices,5322
Developer  game or graphics,9672
Project manager,16306
Cloud infrastructure engineer,7158
Data or business analyst,20226
Designer,6465
Scientist,9672
Product manager,19152
Senior Executive,0
System administrator,7224
Blockchain,14630
Marketing or sales professional,0
Security professional,0
