job,avgsalary
Data scientist or machine learning specialist,90421
Developer  front-end,126435
Engineer  data,123880
Engineer  site reliability,100162
Developer  full-stack,115528
 Developer  back-end,0
Developer  desktop or enterprise applications,123822
Developer  QA or test,80024
Student,735844
Developer  mobileEducator,0
Engineering manager,271703
Database administrator,66968
Academic researcher,66416
DevOps specialist,125767
Other,198885
Developer  embedded applications or devices,96535
Developer  game or graphics,49653
Project manager,114651
Cloud infrastructure engineer,132464
Data or business analyst,112878
Designer,79230
Scientist,72025
Product manager,260339
Senior Executive,335209
System administrator,75601
Blockchain,198705
Marketing or sales professional,73230
Security professional,99915
