job,avgsalary
Data scientist or machine learning specialist,94427
Developer  front-end,207085
Engineer  data,90790
Engineer  site reliability,220754
Developer  full-stack,266892
 Developer  back-end,0
Developer  desktop or enterprise applications,326084
Developer  QA or test,300888
Student,45677
Developer  mobileEducator,0
Engineering manager,105430
Database administrator,183619
Academic researcher,88190
DevOps specialist,96763
Other,80331
Developer  embedded applications or devices,182058
Developer  game or graphics,159496
Project manager,801659
Cloud infrastructure engineer,223298
Data or business analyst,90088
Designer,61866
Scientist,115800
Product manager,101662
Senior Executive,135100
System administrator,154856
Blockchain,552365
Marketing or sales professional,41817
Security professional,84277
