job,avgsalary
Data scientist or machine learning specialist,10123
Developer  front-end,23451
Engineer  data,34524
Engineer  site reliability,30736
Developer  full-stack,23848
 Developer  back-end,0
Developer  desktop or enterprise applications,16289
Developer  QA or test,10262
Student,2671
Developer  mobileEducator,0
Engineering manager,34015
Database administrator,19603
Academic researcher,4764
DevOps specialist,23023
Other,5346
Developer  embedded applications or devices,11544
Developer  game or graphics,0
Project manager,22315
Cloud infrastructure engineer,46976
Data or business analyst,27000
Designer,8059
Scientist,8531
Product manager,21434
Senior Executive,36076
System administrator,12023
Blockchain,40000
Marketing or sales professional,13468
Security professional,0
