job,avgsalary
Data scientist or machine learning specialist,31992
Developer  front-end,87922
Engineer  data,0
Engineer  site reliability,83000
Developer  full-stack,92985
 Developer  back-end,0
Developer  desktop or enterprise applications,156747
Developer  QA or test,0
Student,20000
Developer  mobileEducator,0
Engineering manager,681364
Database administrator,0
Academic researcher,0
DevOps specialist,51500
Other,0
Developer  embedded applications or devices,20000
Developer  game or graphics,0
Project manager,63986
Cloud infrastructure engineer,20000
Data or business analyst,0
Designer,0
Scientist,0
Product manager,73493
Senior Executive,174804
System administrator,51500
Blockchain,1279728
Marketing or sales professional,0
Security professional,0
