job,avgsalary
Data scientist or machine learning specialist,142083
Developer  front-end,206890
Engineer  data,136764
Engineer  site reliability,104742
Developer  full-stack,154045
 Developer  back-end,0
Developer  desktop or enterprise applications,230021
Developer  QA or test,269952
Student,74362
Developer  mobileEducator,0
Engineering manager,100221
Database administrator,190585
Academic researcher,123697
DevOps specialist,154606
Other,231926
Developer  embedded applications or devices,214420
Developer  game or graphics,187796
Project manager,243076
Cloud infrastructure engineer,129529
Data or business analyst,100261
Designer,345774
Scientist,80565
Product manager,108237
Senior Executive,484521
System administrator,130907
Blockchain,746676
Marketing or sales professional,0
Security professional,187110
