job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,31092
Engineer  data,0
Engineer  site reliability,0
Developer  full-stack,36272
 Developer  back-end,0
Developer  desktop or enterprise applications,38862
Developer  QA or test,31092
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,31092
Academic researcher,31092
DevOps specialist,31092
Other,0
Developer  embedded applications or devices,31092
Developer  game or graphics,0
Project manager,31092
Cloud infrastructure engineer,0
Data or business analyst,31092
Designer,31092
Scientist,0
Product manager,31092
Senior Executive,0
System administrator,0
Blockchain,0
Marketing or sales professional,0
Security professional,31092
