job,avgsalary
Data scientist or machine learning specialist,24660
Developer  front-end,20172
Engineer  data,31027
Engineer  site reliability,19003
Developer  full-stack,19514
 Developer  back-end,0
Developer  desktop or enterprise applications,13922
Developer  QA or test,7636
Student,6604
Developer  mobileEducator,0
Engineering manager,29128
Database administrator,17664
Academic researcher,5175
DevOps specialist,28414
Other,18152
Developer  embedded applications or devices,14355
Developer  game or graphics,13780
Project manager,15518
Cloud infrastructure engineer,38822
Data or business analyst,23743
Designer,12447
Scientist,6888
Product manager,31371
Senior Executive,41018
System administrator,35268
Blockchain,9785
Marketing or sales professional,30000
Security professional,27238
