job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,17561
Engineer  data,0
Engineer  site reliability,72000
Developer  full-stack,43785
 Developer  back-end,0
Developer  desktop or enterprise applications,25104
Developer  QA or test,0
Student,0
Developer  mobileEducator,0
Engineering manager,72000
Database administrator,24168
Academic researcher,0
DevOps specialist,109600
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,240000
Cloud infrastructure engineer,72000
Data or business analyst,37200
Designer,0
Scientist,0
Product manager,20076
Senior Executive,0
System administrator,12552
Blockchain,0
Marketing or sales professional,0
Security professional,37200
