job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,27088
Engineer  data,102000
Engineer  site reliability,0
Developer  full-stack,169861
 Developer  back-end,0
Developer  desktop or enterprise applications,26400
Developer  QA or test,29400
Student,0
Developer  mobileEducator,0
Engineering manager,678000
Database administrator,28000
Academic researcher,0
DevOps specialist,25533
Other,84000
Developer  embedded applications or devices,33900
Developer  game or graphics,0
Project manager,19800
Cloud infrastructure engineer,915500
Data or business analyst,33000
Designer,18000
Scientist,0
Product manager,54000
Senior Executive,25000
System administrator,22150
Blockchain,0
Marketing or sales professional,0
Security professional,21600
