job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,56406
Engineer  data,16000
Engineer  site reliability,0
Developer  full-stack,64080
 Developer  back-end,0
Developer  desktop or enterprise applications,20865
Developer  QA or test,92124
Student,5268
Developer  mobileEducator,0
Engineering manager,35460
Database administrator,18111
Academic researcher,0
DevOps specialist,180000
Other,0
Developer  embedded applications or devices,22836
Developer  game or graphics,0
Project manager,21720
Cloud infrastructure engineer,0
Data or business analyst,24000
Designer,17125
Scientist,0
Product manager,26343
Senior Executive,120000
System administrator,18320
Blockchain,120000
Marketing or sales professional,0
Security professional,0
