job,avgsalary
Data scientist or machine learning specialist,27336
Developer  front-end,22705
Engineer  data,60709
Engineer  site reliability,37626
Developer  full-stack,26721
 Developer  back-end,0
Developer  desktop or enterprise applications,9949
Developer  QA or test,21642
Student,18441
Developer  mobileEducator,0
Engineering manager,30836
Database administrator,23904
Academic researcher,32160
DevOps specialist,25645
Other,395778
Developer  embedded applications or devices,11792
Developer  game or graphics,24000
Project manager,28458
Cloud infrastructure engineer,24549
Data or business analyst,19564
Designer,31693
Scientist,32160
Product manager,118040
Senior Executive,95360
System administrator,20071
Blockchain,0
Marketing or sales professional,17688
Security professional,0
