job,avgsalary
Data scientist or machine learning specialist,59087
Developer  front-end,68339
Engineer  data,70776
Engineer  site reliability,81816
Developer  full-stack,49231
 Developer  back-end,0
Developer  desktop or enterprise applications,36800
Developer  QA or test,34296
Student,66450
Developer  mobileEducator,0
Engineering manager,50223
Database administrator,59534
Academic researcher,70024
DevOps specialist,41272
Other,40760
Developer  embedded applications or devices,61620
Developer  game or graphics,44481
Project manager,96491
Cloud infrastructure engineer,63447
Data or business analyst,65920
Designer,50020
Scientist,127392
Product manager,163696
Senior Executive,113236
System administrator,56443
Blockchain,55996
Marketing or sales professional,127392
Security professional,123088
