job,avgsalary
Data scientist or machine learning specialist,58148
Developer  front-end,59307
Engineer  data,72466
Engineer  site reliability,112890
Developer  full-stack,67622
 Developer  back-end,0
Developer  desktop or enterprise applications,63536
Developer  QA or test,49454
Student,24070
Developer  mobileEducator,0
Engineering manager,127311
Database administrator,71652
Academic researcher,61599
DevOps specialist,82705
Other,63714
Developer  embedded applications or devices,61667
Developer  game or graphics,94973
Project manager,64082
Cloud infrastructure engineer,77687
Data or business analyst,47514
Designer,44965
Scientist,48697
Product manager,80197
Senior Executive,200844
System administrator,70083
Blockchain,203768
Marketing or sales professional,194667
Security professional,71485
