job,avgsalary
Data scientist or machine learning specialist,110835
Developer  front-end,703218
Engineer  data,112299
Engineer  site reliability,80985
Developer  full-stack,70912
 Developer  back-end,0
Developer  desktop or enterprise applications,55082
Developer  QA or test,112521
Student,42906
Developer  mobileEducator,0
Engineering manager,140711
Database administrator,56707
Academic researcher,45883
DevOps specialist,98638
Other,46880
Developer  embedded applications or devices,54326
Developer  game or graphics,44052
Project manager,80975
Cloud infrastructure engineer,96908
Data or business analyst,56759
Designer,45096
Scientist,57868
Product manager,66952
Senior Executive,81800
System administrator,78334
Blockchain,63268
Marketing or sales professional,51614
Security professional,61995
