job,avgsalary
Data scientist or machine learning specialist,32964
Developer  front-end,62640
Engineer  data,32964
Engineer  site reliability,0
Developer  full-stack,45831
 Developer  back-end,0
Developer  desktop or enterprise applications,31872
Developer  QA or test,98904
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,0
Academic researcher,0
DevOps specialist,98904
Other,0
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,0
Cloud infrastructure engineer,98904
Data or business analyst,0
Designer,98904
Scientist,0
Product manager,12
Senior Executive,0
System administrator,49452
Blockchain,0
Marketing or sales professional,0
Security professional,0
