job,avgsalary
Data scientist or machine learning specialist,55012
Developer  front-end,32655
Engineer  data,55408
Engineer  site reliability,0
Developer  full-stack,36038
 Developer  back-end,0
Developer  desktop or enterprise applications,38865
Developer  QA or test,48
Student,0
Developer  mobileEducator,0
Engineering manager,66492
Database administrator,28693
Academic researcher,0
DevOps specialist,34874
Other,0
Developer  embedded applications or devices,40822
Developer  game or graphics,0
Project manager,66492
Cloud infrastructure engineer,18996
Data or business analyst,56991
Designer,18996
Scientist,0
Product manager,39860
Senior Executive,66492
System administrator,0
Blockchain,0
Marketing or sales professional,0
Security professional,0
