job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,30192
Engineer  data,6912
Engineer  site reliability,6912
Developer  full-stack,30247
 Developer  back-end,0
Developer  desktop or enterprise applications,14112
Developer  QA or test,29436
Student,7536
Developer  mobileEducator,0
Engineering manager,37116
Database administrator,16254
Academic researcher,6912
DevOps specialist,44796
Other,0
Developer  embedded applications or devices,25596
Developer  game or graphics,0
Project manager,27516
Cloud infrastructure engineer,0
Data or business analyst,6912
Designer,0
Scientist,0
Product manager,0
Senior Executive,0
System administrator,16254
Blockchain,0
Marketing or sales professional,0
Security professional,0
