job,avgsalary
Data scientist or machine learning specialist,59610
Developer  front-end,69439
Engineer  data,50589
Engineer  site reliability,57372
Developer  full-stack,63705
 Developer  back-end,0
Developer  desktop or enterprise applications,65835
Developer  QA or test,73936
Student,21667
Developer  mobileEducator,0
Engineering manager,74594
Database administrator,88252
Academic researcher,18482
DevOps specialist,102088
Other,54825
Developer  embedded applications or devices,46791
Developer  game or graphics,48446
Project manager,64659
Cloud infrastructure engineer,97777
Data or business analyst,85622
Designer,87555
Scientist,48048
Product manager,56162
Senior Executive,59144
System administrator,90997
Blockchain,69261
Marketing or sales professional,0
Security professional,45927
