job,avgsalary
Data scientist or machine learning specialist,44786
Developer  front-end,40002
Engineer  data,56639
Engineer  site reliability,51967
Developer  full-stack,41013
 Developer  back-end,0
Developer  desktop or enterprise applications,42892
Developer  QA or test,41314
Student,20007
Developer  mobileEducator,0
Engineering manager,128340
Database administrator,35767
Academic researcher,30007
DevOps specialist,68352
Other,76280
Developer  embedded applications or devices,41218
Developer  game or graphics,37291
Project manager,44212
Cloud infrastructure engineer,99386
Data or business analyst,54500
Designer,33978
Scientist,35353
Product manager,149026
Senior Executive,187015
System administrator,33060
Blockchain,44393
Marketing or sales professional,26472
Security professional,42717
