job,avgsalary
Data scientist or machine learning specialist,19200
Developer  front-end,50618
Engineer  data,43842
Engineer  site reliability,69336
Developer  full-stack,64522
 Developer  back-end,0
Developer  desktop or enterprise applications,45957
Developer  QA or test,19200
Student,0
Developer  mobileEducator,0
Engineering manager,77604
Database administrator,38849
Academic researcher,37794
DevOps specialist,153606
Other,120000
Developer  embedded applications or devices,47112
Developer  game or graphics,19200
Project manager,38400
Cloud infrastructure engineer,70584
Data or business analyst,19200
Designer,46936
Scientist,53336
Product manager,69870
Senior Executive,19200
System administrator,31826
Blockchain,0
Marketing or sales professional,0
Security professional,19200
