job,avgsalary
Data scientist or machine learning specialist,39030
Developer  front-end,30702
Engineer  data,97584
Engineer  site reliability,0
Developer  full-stack,30702
 Developer  back-end,0
Developer  desktop or enterprise applications,19512
Developer  QA or test,19512
Student,0
Developer  mobileEducator,0
Engineering manager,0
Database administrator,97584
Academic researcher,0
DevOps specialist,19512
Other,5660
Developer  embedded applications or devices,0
Developer  game or graphics,0
Project manager,19512
Cloud infrastructure engineer,58548
Data or business analyst,58548
Designer,0
Scientist,19512
Product manager,19512
Senior Executive,19512
System administrator,51622
Blockchain,0
Marketing or sales professional,0
Security professional,0
