job,avgsalary
Data scientist or machine learning specialist,130489
Developer  front-end,40099
Engineer  data,100105
Engineer  site reliability,77284
Developer  full-stack,60341
 Developer  back-end,0
Developer  desktop or enterprise applications,37072
Developer  QA or test,51334
Student,12796
Developer  mobileEducator,0
Engineering manager,55042
Database administrator,26453
Academic researcher,121302
DevOps specialist,62394
Other,46935
Developer  embedded applications or devices,63470
Developer  game or graphics,28508
Project manager,75117
Cloud infrastructure engineer,56905
Data or business analyst,54480
Designer,21920
Scientist,149481
Product manager,429484
Senior Executive,875832
System administrator,72840
Blockchain,32136
Marketing or sales professional,12792
Security professional,425145
