job,avgsalary
Data scientist or machine learning specialist,370033
Developer  front-end,111942
Engineer  data,64735
Engineer  site reliability,252623
Developer  full-stack,138170
 Developer  back-end,0
Developer  desktop or enterprise applications,117885
Developer  QA or test,60934
Student,0
Developer  mobileEducator,0
Engineering manager,531708
Database administrator,90196
Academic researcher,65514
DevOps specialist,403690
Other,73463
Developer  embedded applications or devices,252112
Developer  game or graphics,73782
Project manager,124241
Cloud infrastructure engineer,294584
Data or business analyst,152383
Designer,184390
Scientist,0
Product manager,202506
Senior Executive,73850
System administrator,80434
Blockchain,304111
Marketing or sales professional,69828
Security professional,52368
