job,avgsalary
Data scientist or machine learning specialist,71773
Developer  front-end,42683
Engineer  data,39848
Engineer  site reliability,67143
Developer  full-stack,52574
 Developer  back-end,0
Developer  desktop or enterprise applications,56958
Developer  QA or test,47540
Student,15996
Developer  mobileEducator,0
Engineering manager,56734
Database administrator,52072
Academic researcher,42228
DevOps specialist,61482
Other,46068
Developer  embedded applications or devices,31992
Developer  game or graphics,29005
Project manager,81258
Cloud infrastructure engineer,48522
Data or business analyst,33999
Designer,28686
Scientist,12792
Product manager,73581
Senior Executive,44796
System administrator,39825
Blockchain,57588
Marketing or sales professional,53748
Security professional,34506
