job,avgsalary
Data scientist or machine learning specialist,52433
Developer  front-end,50067
Engineer  data,52788
Engineer  site reliability,47651
Developer  full-stack,64015
 Developer  back-end,0
Developer  desktop or enterprise applications,70777
Developer  QA or test,55396
Student,23995
Developer  mobileEducator,0
Engineering manager,69122
Database administrator,67285
Academic researcher,43189
DevOps specialist,60202
Other,77901
Developer  embedded applications or devices,46774
Developer  game or graphics,81741
Project manager,56924
Cloud infrastructure engineer,67015
Data or business analyst,65402
Designer,43697
Scientist,56521
Product manager,61671
Senior Executive,209107
System administrator,61578
Blockchain,73038
Marketing or sales professional,62922
Security professional,50596
