job,avgsalary
Data scientist or machine learning specialist,53879
Developer  front-end,62274
Engineer  data,103395
Engineer  site reliability,50497
Developer  full-stack,61501
 Developer  back-end,0
Developer  desktop or enterprise applications,69325
Developer  QA or test,43395
Student,37605
Developer  mobileEducator,0
Engineering manager,72361
Database administrator,58196
Academic researcher,38595
DevOps specialist,57671
Other,215607
Developer  embedded applications or devices,87953
Developer  game or graphics,43076
Project manager,79970
Cloud infrastructure engineer,61290
Data or business analyst,60546
Designer,59131
Scientist,63979
Product manager,58393
Senior Executive,97944
System administrator,68395
Blockchain,61458
Marketing or sales professional,41730
Security professional,67390
