job,avgsalary
Data scientist or machine learning specialist,44287
Developer  front-end,52209
Engineer  data,77993
Engineer  site reliability,31065
Developer  full-stack,62722
 Developer  back-end,0
Developer  desktop or enterprise applications,212498
Developer  QA or test,0
Student,170657
Developer  mobileEducator,0
Engineering manager,113586
Database administrator,47858
Academic researcher,33719
DevOps specialist,160485
Other,0
Developer  embedded applications or devices,40843
Developer  game or graphics,132585
Project manager,84232
Cloud infrastructure engineer,70828
Data or business analyst,13062
Designer,47208
Scientist,43139
Product manager,124667
Senior Executive,137201
System administrator,162860
Blockchain,89880
Marketing or sales professional,0
Security professional,284952
