job,avgsalary
Data scientist or machine learning specialist,83606
Developer  front-end,91993
Engineer  data,103813
Engineer  site reliability,161203
Developer  full-stack,98630
 Developer  back-end,0
Developer  desktop or enterprise applications,93958
Developer  QA or test,121525
Student,45115
Developer  mobileEducator,0
Engineering manager,112939
Database administrator,68817
Academic researcher,76386
DevOps specialist,110910
Other,136786
Developer  embedded applications or devices,67419
Developer  game or graphics,108912
Project manager,113530
Cloud infrastructure engineer,148782
Data or business analyst,51655
Designer,63081
Scientist,92945
Product manager,52533
Senior Executive,349762
System administrator,98876
Blockchain,115332
Marketing or sales professional,70918
Security professional,93653
