job,avgsalary
Data scientist or machine learning specialist,7737
Developer  front-end,14200
Engineer  data,8556
Engineer  site reliability,0
Developer  full-stack,11972
 Developer  back-end,0
Developer  desktop or enterprise applications,14157
Developer  QA or test,3112
Student,3504
Developer  mobileEducator,0
Engineering manager,0
Database administrator,15699
Academic researcher,10298
DevOps specialist,7301
Other,34804
Developer  embedded applications or devices,17400
Developer  game or graphics,8350
Project manager,13586
Cloud infrastructure engineer,12321
Data or business analyst,11447
Designer,7978
Scientist,1668
Product manager,3000
Senior Executive,23685
System administrator,9954
Blockchain,1332
Marketing or sales professional,0
Security professional,8496
