job,avgsalary
Data scientist or machine learning specialist,74679
Developer  front-end,82310
Engineer  data,110127
Engineer  site reliability,76684
Developer  full-stack,90942
 Developer  back-end,0
Developer  desktop or enterprise applications,108251
Developer  QA or test,63314
Student,0
Developer  mobileEducator,0
Engineering manager,174540
Database administrator,93137
Academic researcher,63785
DevOps specialist,102519
Other,127829
Developer  embedded applications or devices,68623
Developer  game or graphics,178602
Project manager,82623
Cloud infrastructure engineer,80836
Data or business analyst,63197
Designer,106410
Scientist,72942
Product manager,77216
Senior Executive,109783
System administrator,83284
Blockchain,161360
Marketing or sales professional,78214
Security professional,89912
