job,avgsalary
Data scientist or machine learning specialist,255019
Developer  front-end,225260
Engineer  data,260273
Engineer  site reliability,381064
Developer  full-stack,233042
 Developer  back-end,0
Developer  desktop or enterprise applications,256857
Developer  QA or test,201666
Student,50150
Developer  mobileEducator,0
Engineering manager,385547
Database administrator,180202
Academic researcher,277300
DevOps specialist,153726
Other,199559
Developer  embedded applications or devices,251745
Developer  game or graphics,394590
Project manager,228622
Cloud infrastructure engineer,234356
Data or business analyst,268864
Designer,325007
Scientist,299001
Product manager,182225
Senior Executive,262528
System administrator,190753
Blockchain,259461
Marketing or sales professional,129466
Security professional,447695
