job,avgsalary
Data scientist or machine learning specialist,409571
Developer  front-end,186530
Engineer  data,596825
Engineer  site reliability,1149662
Developer  full-stack,156508
 Developer  back-end,0
Developer  desktop or enterprise applications,344099
Developer  QA or test,1155342
Student,1726930
Developer  mobileEducator,0
Engineering manager,821374
Database administrator,513534
Academic researcher,593107
DevOps specialist,450661
Other,3413300
Developer  embedded applications or devices,453812
Developer  game or graphics,1147230
Project manager,611697
Cloud infrastructure engineer,591698
Data or business analyst,701886
Designer,596621
Scientist,1163680
Product manager,1165934
Senior Executive,1175622
System administrator,590092
Blockchain,714770
Marketing or sales professional,1720240
Security professional,1721452
