job,avgsalary
Data scientist or machine learning specialist,32271
Developer  front-end,38001
Engineer  data,43282
Engineer  site reliability,38650
Developer  full-stack,62648
 Developer  back-end,0
Developer  desktop or enterprise applications,33568
Developer  QA or test,112933
Student,0
Developer  mobileEducator,0
Engineering manager,66676
Database administrator,17746
Academic researcher,21954
DevOps specialist,100825
Other,52694
Developer  embedded applications or devices,21722
Developer  game or graphics,9542
Project manager,38540
Cloud infrastructure engineer,44021
Data or business analyst,103835
Designer,169889
Scientist,15000
Product manager,46016
Senior Executive,20842
System administrator,123528
Blockchain,39990
Marketing or sales professional,26434
Security professional,39526
