job,avgsalary
Data scientist or machine learning specialist,0
Developer  front-end,110871
Engineer  data,62784
Engineer  site reliability,0
Developer  full-stack,72259
 Developer  back-end,0
Developer  desktop or enterprise applications,38600
Developer  QA or test,41580
Student,0
Developer  mobileEducator,0
Engineering manager,53333
Database administrator,0
Academic researcher,0
DevOps specialist,259434
Other,0
Developer  embedded applications or devices,477288
Developer  game or graphics,1872
Project manager,0
Cloud infrastructure engineer,41580
Data or business analyst,0
Designer,0
Scientist,0
Product manager,35455
Senior Executive,36259
System administrator,0
Blockchain,0
Marketing or sales professional,0
Security professional,0
