job,avgsalary
Data scientist or machine learning specialist,7512
Developer  front-end,22485
Engineer  data,56804
Engineer  site reliability,32982
Developer  full-stack,21217
 Developer  back-end,0
Developer  desktop or enterprise applications,30230
Developer  QA or test,3300
Student,0
Developer  mobileEducator,0
Engineering manager,98916
Database administrator,39846
Academic researcher,0
DevOps specialist,42708
Other,59352
Developer  embedded applications or devices,40560
Developer  game or graphics,98916
Project manager,38116
Cloud infrastructure engineer,46020
Data or business analyst,0
Designer,38415
Scientist,0
Product manager,0
Senior Executive,69240
System administrator,40752
Blockchain,19200
Marketing or sales professional,0
Security professional,0
