job,avgsalary
Data scientist or machine learning specialist,38317
Developer  front-end,34567
Engineer  data,29603
Engineer  site reliability,36408
Developer  full-stack,32664
 Developer  back-end,0
Developer  desktop or enterprise applications,24014
Developer  QA or test,58767
Student,25833
Developer  mobileEducator,0
Engineering manager,56672
Database administrator,33753
Academic researcher,40185
DevOps specialist,78496
Other,39528
Developer  embedded applications or devices,27853
Developer  game or graphics,40637
Project manager,48637
Cloud infrastructure engineer,45450
Data or business analyst,28659
Designer,38121
Scientist,14042
Product manager,67476
Senior Executive,55010
System administrator,21360
Blockchain,51487
Marketing or sales professional,180000
Security professional,43658
